Date,AIG,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-03-03,258.897125,3.052611,0.467002,9.638586,2.498863,1.022587,4.957508,4.263648,1.60874,6.82257,7.511895,2.100179,4.530748,3.684383,4.504725,7.339197,9.622684,7.136815,1.946123,0.142271,0.987969,4.892815,7.59997,2.632806,1.365396,5.851573,11.15661,10.340933,4.17968,5.31315,13.791589,0.876819,40.173302,0.943731,9.026802,14.272038
1993-03-04,259.687256,3.083289,0.470208,9.638586,2.467232,1.042361,4.973397,4.288631,1.596998,6.770432,7.460907,2.078279,4.410816,3.7167,4.397469,7.410973,9.70287,6.975138,1.92316,0.136095,0.985933,4.938759,7.563316,2.370835,1.395571,5.825275,10.86737,10.398868,4.151246,5.31315,13.545729,0.875378,39.260273,0.926025,8.893562,14.496791
1993-03-05,257.053497,3.144649,0.470208,9.673512,2.477775,1.039536,4.917785,4.213686,1.611089,6.730524,7.511895,2.02791,4.30421,3.695154,4.384062,7.375085,9.80597,6.928945,1.900197,0.133958,0.95945,4.927271,7.58775,2.462524,1.391799,5.759523,10.826044,10.543698,4.208115,5.277848,13.791589,0.885473,39.781998,0.943523,8.826948,14.328235
1993-03-08,260.740753,3.282707,0.483031,9.638586,2.509406,1.022587,4.933671,4.29696,1.643969,6.87684,7.630861,2.084848,4.517419,3.770567,4.491317,7.536585,10.023627,7.067523,1.92029,0.153341,0.983896,4.996183,7.832122,2.383933,1.41443,5.825275,11.197939,10.601631,4.359758,5.277848,14.275361,0.899894,41.738495,0.928924,8.91022,14.9744
1993-03-09,261.530853,3.436104,0.485169,9.533821,2.514678,1.032474,4.917785,4.271977,1.639271,6.890145,7.698841,2.067329,4.597376,3.775382,4.598571,7.572472,10.023627,7.044428,1.934642,0.152818,0.97371,4.915785,7.942095,2.429778,1.418202,5.733228,11.197939,10.543698,4.378715,5.224895,14.521214,0.895568,46.694935,0.934398,8.943531,14.9744
1993-03-10,260.740753,3.328727,0.485169,9.74336,2.498863,1.040949,4.949562,4.255322,1.648665,6.850238,7.596869,2.052,4.770612,3.753495,4.719237,7.554528,10.046536,7.390874,1.951864,0.155431,1.030748,4.915785,7.990971,2.534567,1.440832,5.733228,11.239257,10.427834,4.331325,5.216069,14.188122,0.902779,48.912292,0.945348,8.893562,14.91821
1993-03-11,260.740753,3.359405,0.486237,9.673512,2.472505,1.062135,4.925728,4.22201,1.643969,6.783731,7.460907,2.047619,4.703981,3.742553,4.6522,7.518639,9.989261,7.252299,1.986308,0.152035,1.016488,4.892815,7.942095,2.567314,1.437061,5.549132,10.950007,10.398868,4.246026,5.145462,13.989849,0.899894,50.086212,0.958123,8.960184,14.524894
1993-03-12,258.370361,3.436104,0.480894,9.848126,2.435599,1.064959,4.917785,4.172048,1.62518,6.810333,7.562877,2.060759,4.650678,3.698779,4.585167,7.393032,9.943441,7.229199,2.043716,0.149945,1.012414,4.904299,7.819904,2.632806,1.399342,5.522832,10.991328,10.398868,4.227071,5.066026,13.744005,0.892684,51.651405,0.950823,8.91022,14.384426
1993-03-15,260.740753,3.328727,0.487306,9.952887,2.446143,1.081908,4.901895,4.213686,1.622831,6.890145,7.477901,2.078279,4.637353,3.764438,4.585167,7.482752,9.943441,7.136815,2.012142,0.15961,1.012414,4.869846,7.832122,2.672101,1.421974,5.549132,11.032652,10.485766,4.236548,5.110158,13.973988,0.891242,51.912277,0.943523,9.010149,14.637261
1993-03-16,262.057617,3.359405,0.483031,9.77828,2.430328,1.073434,4.941618,4.263648,1.632226,6.863539,7.494896,2.097989,4.477442,3.775382,4.638794,7.536585,9.954893,6.975138,2.015012,0.159349,0.977784,4.869846,7.893219,2.580412,1.41443,5.62803,11.11529,10.485766,4.075426,5.154285,13.958133,0.89701,49.95578,0.943523,9.043454,14.665359
